"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Brooks, Alberta",436336.0182338176,5601749.82477379,12,U,14451,777.3
"Sainte-Anne-des-Plaines, Quebec",591730.311119099,5068247.845120538,18,T,14421.00,154.10
"West Nipissing / Nipissing Ouest, Ontario",583326.3391254599,5135361.860734639,17,T,14364,7.2
"Rosemère, Quebec",593524.5506689532,5054406.116822904,18,T,14294,1326.9
"Mistassini, Quebec",704383.1748908063,5411508.3175158985,18,U,14250.00,48.20
"Grand Falls, Newfoundland and Labrador",597850.9724553472,5423625.588915214,21,U,14171.00,259.20
"Clearview, Ontario",573727.1634833268,4916507.237528085,17,T,14151,25.4
"St. Clair, Ontario",389577.01703258825,4737634.772734009,17,T,14086,22.8
"Canmore, Alberta",614924.5793538915,5661002.867941251,11,U,13992,201.5
"North Battleford, Saskatchewan",683131.3730364777,5848748.7990437895,12,U,13888,414.0
"Pembroke, Ontario",336857.02041313634,5075826.401121902,18,T,13882,953.3
"Mont-Laurier, Quebec",461669.26510960504,5155280.63762168,18,T,13779,23.3
"Strathmore, Alberta",331719.0633812542,5656769.957214747,12,U,13756,502.0
"Saugeen Shores, Ontario",470814.95515726483,4920065.733499098,17,T,13715,80.2
"Thompson, Manitoba",571863.1722342641,6178103.540940435,14,U,13678,657.91
"Lavaltrie, Quebec",633206.6482020982,5082514.336062905,18,T,13657,199.7
"High River, Alberta",296508.96371496236,5607154.660723133,12,U,13584,635.1
"Severn, Ontario",617414.1315088149,4956249.287416984,17,T,13477,24.5
"Sainte-Sophie, Quebec",585451.1752790969,5074636.871648797,18,T,13375,120.2
"Saint-Charles-Borromée, Quebec",618619.4806671843,5100745.6891855495,18,T,13321,715.0
"Portage La Prairie, Manitoba",550775.859663236,5535846.754867815,14,U,13304,539.1
"Thames Centre, Ontario",493482.50500975474,4764149.358876667,17,T,13191,30.4
"Mississippi Mills, Ontario",405778.8717947669,5007723.856509703,18,T,13163,25.3
"Powell River, British Columbia",390358.53003798117,5521433.820072032,10,U,13157,444.1
"South Glengarry, Ontario",532727.8749022254,5005252.70385944,18,T,13150,21.7
"North Perth, Ontario",504026.83972690837,4841886.461578688,17,T,13130,26.6
"Mercier, Quebec",597969.1152193013,5019259.2824204005,18,T,13115,284.6
"South Stormont, Ontario",502620.74366705253,4992204.581670066,18,T,13110,28.2
"Saint-Colomban, Quebec",567692.9652463458,5064417.375666716,18,T,13080,139.8
"Lacombe, Alberta",314095.4137136926,5816648.224783297,12,U,13057,627.5
"Sooke, British Columbia",445364.8296476884,5358366.514317816,10,U,13001,229.6
"Dawson Creek, British Columbia",673449.157023492,6182895.75305358,10,U,12978,475.4
"Lake Country, British Columbia",327289.45540747745,5550683.961209054,11,U,12922,105.8
"Trent Hills, Ontario",272599.04306521325,4910725.922833503,18,T,12900,25.2
"Sainte-Marie, Quebec",343839.70891590236,5146056.236609094,19,T,12889,120.3
"Guelph/Eramosa, Ontario",562923.215203255,4831074.630745796,17,T,12854,44.1
"Truro, Nova Scotia",478072.16473248426,5023503.374083696,20,T,12826,355.5
"Amos, Quebec",712704.0564977367,5383303.800642357,17,U,12823,29.8
"The Nation / La Nation, Ontario",497391.47844669945,5021832.69987881,18,T,12808,19.5
"Ingersoll, Ontario",509481.53901520825,4765174.47781171,17,T,12757,1000.7
"Winkler, Manitoba",577269.8852390039,5448195.934337696,14,U,12660,740.5
"Wetaskiwin, Alberta",340385.1471920818,5871510.245405603,12,U,12655,691.1
"Central Elgin, Ontario",491818.39449186274,4734912.605996197,17,T,12607,45.0
"Lachute, Quebec",551948.6266717266,5055377.419749617,18,T,12551,114.9
"West Grey, Ontario",514650.59556132817,4892248.229282822,17,T,12518,14.3
"Parksville, British Columbia",404644.8690133065,5463301.747657799,10,U,12514,854.6
