"city, province_name",x,y,population,density
"Gander, Newfoundland and Labrador",-6079034.940780797,6267551.387478677,11688,112.1
"Sidney, British Columbia",-13736669.316602847,6215782.142397081,11672,2290.7
"Rothesay, New Brunswick",-7346741.301934596,5682035.728297166,11659,335.8
"Brock, Ontario",-8803512.686251692,5514583.759316448,11642,27.5
"Summerland, British Columbia",-13322471.755259236,6377391.972886912,11615,156.8
"Val-des-Monts, Quebec",-8423178.514007393,5724437.781233704,11582,26.2
"Taché, Manitoba",-10761655.925152611,6395876.5314007085,11568,19.9
"Montmagny, Quebec",-7853590.07546545,5939348.633252942,11491,91.1
"Erin, Ontario",-8912984.273497798,5429409.16868659,11439,38.4
"Kincardine, Ontario",-9087377.38777454,5491275.737184535,11389,21.2
"North Dundas, Ontario",-8387923.631273163,5634644.913090013,11278,22.4
"Wellesley, Ontario",-8985341.942513425,5396065.69676217,11260,40.5
"Estevan, Saskatchewan",-11464360.21078515,6298513.812393107,11258,586.6
"North Saanich, British Columbia",-13739051.553705825,6209650.948801701,11249,301.8
"Warman, Saskatchewan",-11864898.870608428,6858539.691364971,11020,844.6
"La Tuque, Quebec",-8243519.987816129,6117708.65417562,11001.00,0.40
"Norwich, Ontario",-8972350.95793785,5309430.2820075415,11001,25.5
"Meaford, Ontario",-8986822.491740976,5555641.661376522,10991,18.7
"Adjala-Tosorontio, Ontario",-8898134.253425974,5486093.891735682,10975,29.5
"Hamilton Township, Ontario",-8707009.819683002,5473802.614086159,10942.00,42.70
"St. Clements, Manitoba",-10761722.716847086,6492975.476377458,10876,14.9
"Saint-Amable, Quebec",-8159718.675146952,5724437.781233704,10870,296.3
"Weyburn, Saskatchewan",-11560807.417608444,6387789.886728027,10870,688.8
"South Dundas, Ontario",-8378650.717690084,5608417.125067244,10833,20.8
"L’Île-Perrot, Quebec",-8232076.3441625815,5682067.42691484,10756,1955.6
"Notre-Dame-de-l'Île-Perrot, Quebec",-8230217.308666333,5679436.823146942,10756,386.9
"Williams Lake, British Columbia",-13596373.362356085,6823556.536286064,10753,327.0
"Elliot Lake, Ontario",-9200555.91406406,5841987.5227455245,10741,15.9
"Cantley, Quebec",-8436158.366633888,5711182.411310465,10699,83.4
"Nelson, British Columbia",-13055917.234554742,6360130.740921419,10664,1552.3
"Lambton Shores, Ontario",-9117066.295969106,5339913.723840015,10631,32.1
"Mapleton, Ontario",-8979931.815260872,5424647.242004503,10527.00,19.70
"Georgian Bluffs, Ontario",-9020585.693298575,5566588.421489562,10479,17.3
"Rawdon, Quebec",-8206105.506960509,5788365.378851466,10416,55.7
"Campbellton, New Brunswick",-7422015.541609009,6107686.697041163,10411,370.5
"View Royal, British Columbia",-13740598.89462785,6182333.320896317,10408,724.8
